Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.18,-.24,-.09,-.16,-.09,-.20,-.18,-.09,-.14,-.23,-.21,-.17,-.17,***,***,-.11,-.16,-.19
1881,-.19,-.13,.04,.05,.06,-.18,.01,-.03,-.15,-.21,-.18,-.06,-.08,-.09,-.16,.05,-.07,-.18
1882,.17,.15,.05,-.16,-.14,-.22,-.16,-.06,-.14,-.23,-.16,-.35,-.10,-.08,.08,-.08,-.15,-.18
1883,-.28,-.36,-.12,-.18,-.17,-.07,-.06,-.13,-.20,-.11,-.23,-.11,-.17,-.19,-.33,-.15,-.09,-.18
1884,-.12,-.07,-.36,-.40,-.34,-.36,-.32,-.27,-.27,-.25,-.33,-.31,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.42,-.45,-.43,-.34,-.31,-.28,-.23,-.24,-.10,-.33,-.35,-.41,-.38,-.36,-.25
1886,-.43,-.50,-.43,-.28,-.24,-.34,-.18,-.31,-.24,-.27,-.27,-.25,-.31,-.30,-.35,-.31,-.28,-.26
1887,-.71,-.57,-.35,-.34,-.30,-.24,-.25,-.35,-.25,-.35,-.26,-.33,-.36,-.35,-.51,-.33,-.28,-.29
1888,-.33,-.35,-.41,-.20,-.22,-.17,-.10,-.15,-.12,.02,.03,-.04,-.17,-.19,-.34,-.28,-.14,-.02
1889,-.08,.17,.06,.10,-.01,-.10,-.07,-.20,-.24,-.26,-.33,-.29,-.10,-.08,.02,.05,-.12,-.27
1890,-.41,-.44,-.40,-.30,-.39,-.24,-.28,-.39,-.36,-.25,-.43,-.31,-.35,-.35,-.38,-.36,-.30,-.35
1891,-.33,-.47,-.18,-.27,-.16,-.20,-.17,-.17,-.15,-.21,-.30,-.04,-.22,-.24,-.37,-.20,-.18,-.22
1892,-.29,-.10,-.40,-.33,-.23,-.22,-.31,-.27,-.16,-.13,-.41,-.37,-.27,-.24,-.14,-.32,-.27,-.23
1893,-.80,-.56,-.22,-.27,-.33,-.25,-.13,-.25,-.22,-.18,-.18,-.31,-.31,-.31,-.58,-.27,-.21,-.19
1894,-.51,-.28,-.22,-.44,-.30,-.40,-.23,-.23,-.27,-.22,-.25,-.20,-.30,-.31,-.37,-.32,-.29,-.25
1895,-.40,-.42,-.32,-.21,-.27,-.21,-.16,-.17,-.12,-.10,-.16,-.14,-.22,-.23,-.34,-.27,-.18,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.07,.07,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.01
1897,-.15,-.16,-.13,-.02,-.01,-.11,-.02,-.09,-.08,-.12,-.18,-.19,-.11,-.09,-.12,-.05,-.07,-.13
1898,-.01,-.30,-.50,-.30,-.30,-.18,-.21,-.26,-.21,-.34,-.38,-.23,-.27,-.26,-.17,-.37,-.22,-.31
1899,-.16,-.38,-.36,-.20,-.23,-.31,-.16,-.08,-.05,-.04,.13,-.26,-.17,-.17,-.26,-.26,-.18,.01
1900,-.35,-.05,.01,-.08,-.09,-.09,-.13,-.09,-.05,.10,-.06,-.06,-.08,-.10,-.22,-.05,-.10,.00
1901,-.21,-.11,.06,-.02,-.15,-.12,-.14,-.21,-.22,-.29,-.18,-.27,-.16,-.14,-.13,-.04,-.16,-.23
1902,-.18,-.07,-.28,-.29,-.32,-.30,-.28,-.30,-.29,-.29,-.35,-.42,-.28,-.27,-.17,-.29,-.29,-.31
1903,-.23,-.06,-.22,-.41,-.40,-.42,-.36,-.45,-.50,-.48,-.42,-.51,-.37,-.36,-.24,-.34,-.41,-.47
1904,-.63,-.57,-.48,-.50,-.52,-.48,-.51,-.49,-.55,-.39,-.17,-.33,-.47,-.48,-.57,-.50,-.49,-.37
1905,-.34,-.59,-.21,-.33,-.29,-.28,-.27,-.20,-.19,-.25,-.06,-.13,-.26,-.28,-.42,-.28,-.25,-.17
1906,-.28,-.29,-.18,-.05,-.26,-.20,-.23,-.20,-.28,-.20,-.37,-.14,-.22,-.22,-.23,-.16,-.21,-.28
1907,-.43,-.51,-.27,-.37,-.46,-.42,-.35,-.34,-.34,-.23,-.46,-.46,-.39,-.36,-.36,-.37,-.37,-.34
1908,-.44,-.32,-.55,-.44,-.37,-.38,-.35,-.46,-.36,-.44,-.51,-.49,-.43,-.42,-.41,-.45,-.40,-.43
1909,-.72,-.46,-.54,-.59,-.54,-.51,-.45,-.33,-.38,-.39,-.31,-.56,-.48,-.47,-.55,-.56,-.43,-.36
1910,-.41,-.41,-.50,-.42,-.33,-.38,-.34,-.36,-.38,-.41,-.54,-.66,-.43,-.42,-.46,-.42,-.36,-.44
1911,-.62,-.57,-.61,-.53,-.51,-.50,-.41,-.43,-.40,-.26,-.20,-.20,-.43,-.47,-.62,-.55,-.44,-.28
1912,-.24,-.13,-.37,-.17,-.20,-.22,-.42,-.54,-.58,-.57,-.38,-.42,-.35,-.33,-.19,-.25,-.39,-.51
1913,-.40,-.44,-.42,-.39,-.43,-.45,-.36,-.33,-.34,-.32,-.19,-.02,-.34,-.37,-.42,-.41,-.38,-.28
1914,.05,-.09,-.24,-.29,-.21,-.25,-.23,-.16,-.17,-.03,-.15,-.03,-.15,-.15,-.02,-.24,-.21,-.11
1915,-.20,-.03,-.09,.07,-.06,-.21,-.12,-.22,-.20,-.24,-.12,-.21,-.14,-.12,-.09,-.03,-.18,-.19
1916,-.12,-.14,-.28,-.30,-.34,-.49,-.37,-.28,-.36,-.33,-.45,-.81,-.36,-.31,-.16,-.31,-.38,-.38
1917,-.57,-.63,-.63,-.54,-.55,-.43,-.25,-.22,-.22,-.44,-.33,-.67,-.46,-.47,-.67,-.57,-.30,-.33
1918,-.47,-.34,-.24,-.44,-.42,-.36,-.31,-.31,-.17,-.06,-.11,-.29,-.29,-.33,-.49,-.37,-.33,-.11
1919,-.20,-.24,-.21,-.12,-.28,-.36,-.29,-.33,-.25,-.20,-.41,-.42,-.28,-.27,-.25,-.20,-.33,-.29
1920,-.24,-.26,-.12,-.24,-.27,-.36,-.30,-.27,-.22,-.26,-.26,-.46,-.27,-.27,-.31,-.21,-.31,-.25
1921,-.04,-.17,-.23,-.30,-.30,-.27,-.15,-.26,-.19,-.03,-.13,-.17,-.19,-.21,-.23,-.28,-.23,-.12
1922,-.33,-.44,-.15,-.23,-.34,-.31,-.27,-.33,-.36,-.33,-.15,-.19,-.28,-.28,-.32,-.24,-.30,-.28
1923,-.28,-.39,-.34,-.41,-.34,-.29,-.31,-.33,-.31,-.14,-.02,-.05,-.27,-.28,-.29,-.36,-.31,-.16
1924,-.23,-.24,-.08,-.31,-.18,-.26,-.29,-.36,-.32,-.35,-.21,-.43,-.27,-.24,-.17,-.19,-.30,-.29
1925,-.38,-.40,-.28,-.25,-.29,-.32,-.26,-.20,-.19,-.17,.05,.06,-.22,-.26,-.40,-.27,-.26,-.10
1926,.21,.03,.11,-.12,-.23,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-.08,-.22,-.10
1927,-.27,-.18,-.38,-.30,-.25,-.27,-.18,-.24,-.13,-.01,-.06,-.33,-.22,-.21,-.25,-.31,-.23,-.07
1928,-.02,-.09,-.25,-.28,-.30,-.39,-.19,-.22,-.22,-.19,-.09,-.16,-.20,-.21,-.15,-.28,-.27,-.16
1929,-.45,-.58,-.33,-.41,-.38,-.44,-.37,-.33,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.38,-.17
1930,-.29,-.27,-.11,-.25,-.24,-.22,-.21,-.15,-.16,-.12,.18,-.06,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.11,-.21,-.10,-.23,-.20,-.08,-.04,-.04,-.07,.04,-.06,-.06,-.10,-.10,-.12,-.18,-.05,-.03
1932,.15,-.17,-.18,-.06,-.17,-.29,-.25,-.22,-.11,-.09,-.27,-.26,-.16,-.14,-.03,-.14,-.25,-.16
1933,-.24,-.30,-.30,-.24,-.29,-.35,-.22,-.24,-.30,-.25,-.31,-.45,-.29,-.27,-.26,-.28,-.27,-.29
1934,-.22,-.03,-.30,-.31,-.10,-.16,-.11,-.12,-.16,-.07,.03,-.03,-.13,-.17,-.23,-.24,-.13,-.07
1935,-.34,.13,-.15,-.37,-.30,-.27,-.22,-.22,-.22,-.06,-.26,-.17,-.20,-.19,-.08,-.27,-.24,-.18
1936,-.28,-.39,-.22,-.20,-.17,-.22,-.10,-.13,-.09,-.03,.01,-.01,-.15,-.17,-.28,-.20,-.15,-.04
1937,-.08,.02,-.21,-.16,-.05,-.05,-.04,.01,.09,.08,.08,-.07,-.03,-.03,-.02,-.14,-.03,.08
1938,.08,.03,.09,.06,-.10,-.17,-.09,-.06,.00,.14,.07,-.13,-.01,.00,.01,.02,-.11,.07
1939,-.05,-.07,-.18,-.10,-.05,-.07,-.06,-.06,-.07,-.04,.07,.43,-.02,-.07,-.08,-.11,-.06,-.01
1940,.00,.08,.09,.17,.11,.11,.12,.06,.15,.11,.16,.32,.12,.13,.17,.12,.10,.14
1941,.18,.31,.09,.16,.17,.12,.21,.14,.02,.35,.22,.21,.18,.19,.27,.14,.16,.19
1942,.29,.02,.05,.09,.11,.04,.00,-.04,-.04,.01,.09,.12,.06,.07,.17,.08,.00,.02
1943,-.01,.17,-.04,.11,.06,-.05,.08,.01,.05,.23,.20,.23,.09,.08,.09,.04,.01,.16
1944,.35,.24,.26,.19,.18,.15,.17,.18,.27,.26,.11,.03,.20,.22,.27,.21,.17,.21
1945,.09,.00,.06,.19,.05,.00,.03,.26,.20,.18,.07,-.07,.09,.10,.04,.10,.10,.15
1946,.15,.02,.01,.05,-.08,-.22,-.13,-.20,-.08,-.08,-.05,-.31,-.08,-.06,.03,-.01,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.05,-.07,-.13,.07,.02,-.14,-.03,-.04,-.15,.03,-.05,-.01
1948,.06,-.15,-.25,-.12,-.01,-.05,-.11,-.12,-.15,-.05,-.13,-.24,-.11,-.10,-.07,-.13,-.09,-.11
1949,.06,-.14,-.02,-.11,-.10,-.28,-.13,-.13,-.15,-.07,-.10,-.18,-.11,-.12,-.11,-.08,-.18,-.11
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.09,-.16,-.12,-.21,-.34,-.21,-.18,-.17,-.24,-.13,-.10,-.22
1951,-.35,-.42,-.20,-.14,-.01,-.07,-.01,.06,.05,.08,-.01,.15,-.07,-.10,-.33,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.02,.13,-.03,.02,-.02
1953,.07,.15,.11,.19,.11,.12,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.19,-.19,-.18,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.16,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.16,.02,.15,.09,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.08,.05,-.05,-.02,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.13,.02,-.07
