Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.17,-.23,-.08,-.15,-.09,-.20,-.17,-.09,-.14,-.23,-.21,-.17,-.16,***,***,-.11,-.16,-.19
1881,-.19,-.13,.04,.06,.07,-.17,.01,-.02,-.14,-.20,-.17,-.06,-.08,-.09,-.16,.06,-.06,-.17
1882,.18,.15,.05,-.16,-.14,-.22,-.15,-.06,-.14,-.23,-.16,-.35,-.10,-.08,.09,-.08,-.14,-.18
1883,-.28,-.36,-.12,-.17,-.16,-.07,-.05,-.13,-.21,-.11,-.22,-.11,-.17,-.19,-.33,-.15,-.08,-.18
1884,-.12,-.08,-.36,-.39,-.33,-.34,-.32,-.27,-.27,-.25,-.33,-.31,-.28,-.26,-.10,-.36,-.31,-.28
1885,-.58,-.33,-.26,-.41,-.44,-.43,-.33,-.30,-.28,-.23,-.23,-.09,-.33,-.34,-.41,-.37,-.35,-.25
1886,-.43,-.50,-.42,-.27,-.23,-.34,-.17,-.30,-.23,-.27,-.26,-.25,-.31,-.29,-.34,-.31,-.27,-.26
1887,-.71,-.56,-.35,-.34,-.29,-.24,-.25,-.34,-.25,-.35,-.25,-.32,-.35,-.35,-.51,-.33,-.28,-.28
1888,-.33,-.36,-.41,-.20,-.22,-.17,-.10,-.15,-.12,.01,.03,-.04,-.17,-.19,-.34,-.28,-.14,-.02
1889,-.08,.17,.06,.10,-.01,-.10,-.08,-.20,-.24,-.26,-.33,-.29,-.10,-.08,.02,.05,-.13,-.28
1890,-.41,-.44,-.40,-.29,-.39,-.24,-.28,-.39,-.36,-.25,-.43,-.31,-.35,-.35,-.38,-.36,-.30,-.35
1891,-.34,-.47,-.18,-.27,-.16,-.21,-.17,-.17,-.16,-.22,-.31,-.05,-.23,-.25,-.37,-.20,-.18,-.23
1892,-.29,-.10,-.40,-.33,-.23,-.22,-.32,-.27,-.16,-.14,-.42,-.38,-.27,-.24,-.15,-.32,-.27,-.24
1893,-.81,-.57,-.22,-.27,-.34,-.26,-.14,-.25,-.22,-.18,-.19,-.31,-.31,-.32,-.59,-.27,-.21,-.20
1894,-.52,-.29,-.23,-.45,-.30,-.40,-.24,-.23,-.28,-.23,-.25,-.21,-.30,-.31,-.37,-.33,-.29,-.25
1895,-.41,-.43,-.33,-.21,-.27,-.21,-.17,-.17,-.12,-.11,-.17,-.14,-.23,-.23,-.35,-.27,-.18,-.13
1896,-.21,-.12,-.26,-.30,-.15,-.11,-.02,-.05,-.07,.07,-.04,-.04,-.11,-.12,-.16,-.24,-.06,-.02
1897,-.15,-.17,-.14,-.02,-.01,-.12,-.02,-.09,-.09,-.12,-.18,-.19,-.11,-.10,-.12,-.06,-.08,-.13
